	profile_A
n	x	y	luma
4.180000E2	9.312593E0	-2.831318E-3	5.647144E0
4.190000E2	9.307385E0	-2.831318E-3	7.227311E0
4.200000E2	9.302178E0	-2.831318E-3	8.064430E0
4.210000E2	9.296970E0	-2.831318E-3	6.516926E0
4.220000E2	9.291762E0	-2.831318E-3	5.845542E0
4.230000E2	9.286555E0	-2.831318E-3	5.472551E0
4.240000E2	9.281347E0	-2.831318E-3	6.549966E0
4.250000E2	9.276140E0	-2.831318E-3	7.013822E0
4.260000E2	9.270932E0	-2.831318E-3	7.108185E0
4.270000E2	9.265725E0	-2.831318E-3	7.885927E0
4.280000E2	9.260517E0	-2.831318E-3	7.058276E0
4.290000E2	9.255310E0	-2.831318E-3	6.781661E0
4.300000E2	9.250102E0	-2.831318E-3	6.854353E0
4.310000E2	9.244895E0	-2.831318E-3	7.030144E0
4.320000E2	9.239687E0	-2.831318E-3	7.690066E0
4.330000E2	9.234480E0	-2.831318E-3	6.437289E0
4.340000E2	9.229272E0	-2.831318E-3	5.952412E0
4.350000E2	9.224065E0	-2.831318E-3	6.569068E0
4.360000E2	9.218857E0	-2.831318E-3	6.849984E0
4.370000E2	9.213649E0	-2.831318E-3	5.723907E0
4.380000E2	9.208442E0	-2.831318E-3	6.972028E0
4.390000E2	9.203234E0	-2.831318E-3	7.560413E0
4.400000E2	9.198027E0	-2.831318E-3	6.315848E0
4.410000E2	9.192819E0	-2.831318E-3	5.253008E0
4.420000E2	9.187612E0	-2.831318E-3	6.393114E0
4.430000E2	9.182404E0	-2.831318E-3	7.141640E0
4.440000E2	9.177197E0	-2.831318E-3	7.026661E0
4.450000E2	9.171989E0	-2.831318E-3	7.080299E0
4.460000E2	9.166782E0	-2.831318E-3	7.010002E0
4.470000E2	9.161574E0	-2.831318E-3	6.268911E0
4.480000E2	9.156367E0	-2.831318E-3	6.281180E0
4.490000E2	9.151159E0	-2.831318E-3	5.705120E0
4.500000E2	9.145952E0	-2.831318E-3	6.225069E0
4.510000E2	9.140744E0	-2.831318E-3	7.186525E0
4.520000E2	9.135536E0	-2.831318E-3	6.714070E0
4.530000E2	9.130329E0	-2.831318E-3	6.101560E0
4.540000E2	9.125121E0	-2.831318E-3	6.688507E0
4.550000E2	9.119914E0	-2.831318E-3	6.800248E0
4.560000E2	9.114706E0	-2.831318E-3	6.850103E0
4.570000E2	9.109499E0	-2.831318E-3	6.042707E0
4.580000E2	9.104291E0	-2.831318E-3	6.890761E0
4.590000E2	9.099084E0	-2.831318E-3	6.246756E0
4.600000E2	9.093876E0	-2.831318E-3	6.947759E0
4.610000E2	9.088669E0	-2.831318E-3	6.644439E0
4.620000E2	9.083461E0	-2.831318E-3	6.696357E0
4.630000E2	9.078254E0	-2.831318E-3	6.677676E0
