	profile_A
n,x,luma
4.540000E2,1.812610E1,8.926366E0
4.550000E2,1.811543E1,8.694092E0
4.560000E2,1.810475E1,9.836756E0
4.570000E2,1.809407E1,1.105965E1
4.580000E2,1.808340E1,1.118255E1
4.590000E2,1.807272E1,9.117618E0
4.600000E2,1.806205E1,8.106146E0
4.610000E2,1.805137E1,8.589289E0
4.620000E2,1.804069E1,7.866735E0
4.630000E2,1.803002E1,8.301340E0
4.640000E2,1.801934E1,8.801432E0
4.650000E2,1.800866E1,9.349258E0
4.660000E2,1.799799E1,9.017531E0
4.670000E2,1.798731E1,8.958072E0
4.680000E2,1.797663E1,8.378810E0
4.690000E2,1.796596E1,8.576472E0
4.700000E2,1.795528E1,1.028254E1
4.710000E2,1.794460E1,1.047120E1
4.720000E2,1.793393E1,9.531867E0
4.730000E2,1.792325E1,8.964634E0
4.740000E2,1.791257E1,9.210595E0
4.750000E2,1.790190E1,9.270734E0
4.760000E2,1.789122E1,8.848295E0
4.770000E2,1.788054E1,8.968679E0
4.780000E2,1.786987E1,9.081908E0
4.790000E2,1.785919E1,9.057186E0
4.800000E2,1.784851E1,1.057829E1
4.810000E2,1.783784E1,1.191854E1
4.820000E2,1.782716E1,1.070670E1
4.830000E2,1.781648E1,8.924859E0
4.840000E2,1.780581E1,8.975417E0
4.850000E2,1.779513E1,9.211127E0
4.860000E2,1.778445E1,8.645112E0
4.870000E2,1.777378E1,8.590040E0
4.880000E2,1.776310E1,8.121269E0
4.890000E2,1.775242E1,8.224379E0
4.900000E2,1.774175E1,8.729376E0
4.910000E2,1.773107E1,9.116785E0
4.920000E2,1.772039E1,8.674983E0
4.930000E2,1.770972E1,9.143465E0
4.940000E2,1.769904E1,1.042404E1
4.950000E2,1.768836E1,1.095145E1
4.960000E2,1.767769E1,9.997501E0
4.970000E2,1.766701E1,9.533552E0
4.980000E2,1.765633E1,8.761682E0
4.990000E2,1.764566E1,6.574669E0
5.000000E2,1.763498E1,6.107930E0
5.010000E2,1.762430E1,7.343874E0
5.020000E2,1.761363E1,8.878474E0
5.030000E2,1.760295E1,9.158701E0
5.040000E2,1.759227E1,9.284144E0
5.050000E2,1.758160E1,9.796270E0
5.060000E2,1.757092E1,9.516796E0
5.070000E2,1.756024E1,8.313249E0
5.080000E2,1.754957E1,7.162805E0
5.090000E2,1.753889E1,7.209935E0
5.100000E2,1.752821E1,9.923776E0
5.110000E2,1.751754E1,1.211606E1
5.120000E2,1.750686E1,1.134505E1
5.130000E2,1.749618E1,1.144837E1
5.140000E2,1.748551E1,1.159764E1
5.150000E2,1.747483E1,1.049889E1
5.160000E2,1.746415E1,9.255876E0
5.170000E2,1.745348E1,8.136486E0
5.180000E2,1.744280E1,8.562507E0
5.190000E2,1.743213E1,8.437175E0
5.200000E2,1.742145E1,8.877980E0
5.210000E2,1.741077E1,9.005449E0
5.220000E2,1.740010E1,8.529898E0
5.230000E2,1.738942E1,8.138504E0
5.240000E2,1.737874E1,9.545384E0
5.250000E2,1.736807E1,1.002367E1
5.260000E2,1.735739E1,9.597578E0
5.270000E2,1.734671E1,1.045096E1
5.280000E2,1.733604E1,1.005101E1
5.290000E2,1.732536E1,8.630060E0
5.300000E2,1.731468E1,9.116482E0
5.310000E2,1.730401E1,1.048345E1
5.320000E2,1.729333E1,1.013596E1
5.330000E2,1.728265E1,1.040808E1
5.340000E2,1.727198E1,1.143787E1
5.350000E2,1.726130E1,1.062536E1
5.360000E2,1.725062E1,1.107759E1
5.370000E2,1.723995E1,1.031682E1
5.380000E2,1.722927E1,9.348955E0
5.390000E2,1.721859E1,1.011396E1
5.400000E2,1.720792E1,1.012039E1
5.410000E2,1.719724E1,9.721590E0
5.420000E2,1.718656E1,1.116391E1
5.430000E2,1.717589E1,1.093410E1
5.440000E2,1.716521E1,1.046940E1
5.450000E2,1.715453E1,1.093032E1
5.460000E2,1.714386E1,1.090595E1
5.470000E2,1.713318E1,1.051070E1
5.480000E2,1.712250E1,1.129036E1
5.490000E2,1.711183E1,1.304036E1
5.500000E2,1.710115E1,1.366664E1
5.510000E2,1.709047E1,1.406633E1
5.520000E2,1.707980E1,1.337580E1
5.530000E2,1.706912E1,1.212664E1
5.540000E2,1.705844E1,1.051505E1
5.550000E2,1.704777E1,9.673692E0
5.560000E2,1.703709E1,1.089810E1
5.570000E2,1.702641E1,1.122331E1
5.580000E2,1.701574E1,1.043847E1
5.590000E2,1.700506E1,1.030492E1
5.600000E2,1.699438E1,1.017057E1
5.610000E2,1.698371E1,1.012213E1
5.620000E2,1.697303E1,1.149540E1
5.630000E2,1.696235E1,1.073792E1
5.640000E2,1.695168E1,1.009103E1
5.650000E2,1.694100E1,1.056311E1
5.660000E2,1.693032E1,1.223238E1
5.670000E2,1.691965E1,1.444389E1
5.680000E2,1.690897E1,1.494210E1
5.690000E2,1.689829E1,1.430849E1
5.700000E2,1.688762E1,1.360290E1
5.710000E2,1.687694E1,1.256482E1
5.720000E2,1.686626E1,1.216943E1
5.730000E2,1.685559E1,1.235048E1
5.740000E2,1.684491E1,1.108237E1
5.750000E2,1.683423E1,1.030098E1
5.760000E2,1.682356E1,1.098322E1
5.770000E2,1.681288E1,1.050732E1
5.780000E2,1.680221E1,9.234800E0
5.790000E2,1.679153E1,8.736522E0
5.800000E2,1.678085E1,8.671521E0
5.810000E2,1.677018E1,7.976582E0
5.820000E2,1.675950E1,8.385664E0
5.830000E2,1.674882E1,8.981596E0
5.840000E2,1.673815E1,9.593577E0
5.850000E2,1.672747E1,9.769959E0
5.860000E2,1.671679E1,1.080450E1
5.870000E2,1.670612E1,1.350481E1
5.880000E2,1.669544E1,1.257008E1
5.890000E2,1.668476E1,1.028249E1
5.900000E2,1.667409E1,1.107238E1
5.910000E2,1.666341E1,1.302987E1
5.920000E2,1.665273E1,1.401733E1
5.930000E2,1.664206E1,1.466125E1
5.940000E2,1.663138E1,1.303784E1
5.950000E2,1.662070E1,1.201098E1
5.960000E2,1.661003E1,1.219928E1
5.970000E2,1.659935E1,1.222634E1
5.980000E2,1.658867E1,1.192351E1
5.990000E2,1.657800E1,1.210222E1
6.000000E2,1.656732E1,1.228906E1
6.010000E2,1.655664E1,1.105591E1
6.020000E2,1.654597E1,1.098103E1
6.030000E2,1.653529E1,1.143637E1
6.040000E2,1.652461E1,1.303508E1
6.050000E2,1.651394E1,1.361516E1
6.060000E2,1.650326E1,1.269572E1
6.070000E2,1.649258E1,1.139604E1
6.080000E2,1.648191E1,1.175213E1
6.090000E2,1.647123E1,1.271980E1
6.100000E2,1.646055E1,1.281057E1
6.110000E2,1.644988E1,1.145419E1
6.120000E2,1.643920E1,1.032995E1
6.130000E2,1.642852E1,1.046277E1
6.140000E2,1.641785E1,1.147983E1
6.150000E2,1.640717E1,1.217200E1
6.160000E2,1.639649E1,1.203924E1
6.170000E2,1.638582E1,1.272265E1
6.180000E2,1.637514E1,1.362225E1
6.190000E2,1.636446E1,1.244380E1
6.200000E2,1.635379E1,9.904453E0
6.210000E2,1.634311E1,9.331900E0
6.220000E2,1.633243E1,1.041147E1
6.230000E2,1.632176E1,1.167152E1
6.240000E2,1.631108E1,1.187136E1
6.250000E2,1.630040E1,1.189926E1
6.260000E2,1.628973E1,1.273497E1
6.270000E2,1.627905E1,1.340944E1
6.280000E2,1.626837E1,1.308444E1
6.290000E2,1.625770E1,1.314602E1
6.300000E2,1.624702E1,1.334263E1
6.310000E2,1.623634E1,1.218503E1
6.320000E2,1.622567E1,1.158360E1
6.330000E2,1.621499E1,1.066762E1
6.340000E2,1.620431E1,1.136868E1
6.350000E2,1.619364E1,1.305008E1
6.360000E2,1.618296E1,1.249032E1
6.370000E2,1.617228E1,1.201431E1
6.380000E2,1.616161E1,1.307155E1
6.390000E2,1.615093E1,1.334931E1
6.400000E2,1.614026E1,1.169626E1
6.410000E2,1.612958E1,9.275734E0
6.420000E2,1.611890E1,8.470376E0
6.430000E2,1.610823E1,8.319224E0
6.440000E2,1.609755E1,8.702490E0
6.450000E2,1.608687E1,9.709878E0
6.460000E2,1.607620E1,9.216682E0
6.470000E2,1.606552E1,9.233139E0
6.480000E2,1.605484E1,8.929647E0
6.490000E2,1.604417E1,9.151422E0
6.500000E2,1.603349E1,1.111007E1
6.510000E2,1.602281E1,1.109703E1
6.520000E2,1.601214E1,9.862262E0
6.530000E2,1.600146E1,1.034580E1
6.540000E2,1.599078E1,1.012606E1
6.550000E2,1.598011E1,1.065567E1
6.560000E2,1.596943E1,1.118957E1
6.570000E2,1.595875E1,1.043154E1
6.580000E2,1.594808E1,9.139082E0
6.590000E2,1.593740E1,9.310393E0
6.600000E2,1.592672E1,1.014783E1
6.610000E2,1.591605E1,1.141936E1
6.620000E2,1.590537E1,1.137956E1
